cas,teplota_aht,vlhkost_aht,teplota_bmp,tlak,nadm_vyska
2026-01-09 12:08:10,19.6,40.5,19.8,959.6,1000.4,349.9
2026-01-09 12:09:25,19.6,40.6,19.8,959.6,1000.4,349.9
2026-01-09 12:09:31,19.6,40.6,19.8,959.5,1000.3,349.9
2026-01-09 12:09:36,19.6,40.6,19.8,959.6,1000.4,349.9
2026-01-09 12:09:41,19.6,40.6,19.8,959.6,1000.4,349.9
2026-01-09 12:09:46,19.7,40.6,19.8,959.5,1000.3,349.9
2026-01-09 12:09:51,19.6,40.5,19.8,959.5,1000.3,349.9
2026-01-09 12:09:57,19.7,40.6,19.8,959.5,1000.3,349.9
2026-01-09 12:10:02,19.6,40.8,19.8,959.5,1000.3,349.9
2026-01-09 12:10:07,19.7,40.8,19.8,959.5,1000.3,349.9
2026-01-09 12:10:12,19.7,40.7,19.8,959.5,1000.3,349.9
2026-01-09 12:10:17,19.7,40.6,19.8,959.5,1000.3,349.9
2026-01-09 12:10:22,19.7,40.7,19.8,959.5,1000.3,349.9
2026-01-09 12:10:28,19.7,40.6,19.8,959.5,1000.3,349.9
2026-01-09 12:10:33,19.7,40.6,19.9,959.5,1000.3,349.9
2026-01-09 12:10:38,19.7,40.5,19.8,959.4,1000.2,349.9
2026-01-09 12:10:43,19.7,40.5,19.9,959.5,1000.3,349.9
2026-01-09 12:10:48,19.7,40.5,19.9,959.4,1000.2,349.9
2026-01-09 12:10:54,19.7,41.1,19.9,959.5,1000.3,349.9
2026-01-09 12:10:59,19.7,41.5,19.9,959.4,1000.2,349.9
2026-01-09 12:11:04,19.7,41.3,19.9,959.4,1000.2,349.9
2026-01-09 12:11:09,19.7,41.2,19.9,959.5,1000.3,349.9
2026-01-09 12:11:14,19.7,41.1,19.9,959.5,1000.3,349.9
2026-01-09 12:11:20,19.7,41.0,19.9,959.5,1000.3,349.9
2026-01-09 12:11:25,19.7,40.9,19.9,959.4,1000.2,349.9
2026-01-09 12:11:30,19.7,41.0,19.9,959.5,1000.3,349.9
2026-01-09 12:11:35,19.7,40.9,19.9,959.5,1000.3,349.9
2026-01-09 12:11:40,19.7,40.8,19.9,959.5,1000.3,349.9
2026-01-09 12:11:45,19.7,40.7,19.8,959.5,1000.3,349.9
2026-01-09 12:11:51,19.7,40.7,19.9,959.5,1000.3,349.9
2026-01-09 12:11:56,19.7,40.7,19.9,959.5,1000.3,349.9
2026-01-09 12:12:01,19.7,40.7,19.9,959.4,1000.2,349.9
2026-01-09 12:12:06,19.7,40.6,19.9,959.5,1000.3,349.9
2026-01-09 12:12:11,19.7,40.6,19.9,959.5,1000.3,349.9
2026-01-09 12:12:17,19.7,40.6,19.9,959.4,1000.2,349.9
2026-01-09 12:12:22,19.7,40.6,19.9,959.5,1000.3,349.9
2026-01-09 12:12:27,19.7,40.5,19.9,959.4,1000.2,349.9
2026-01-09 12:12:32,19.7,40.5,19.9,959.5,1000.3,349.9
2026-01-09 12:12:37,19.7,40.5,19.9,959.5,1000.3,349.9
2026-01-09 12:12:42,19.7,40.5,19.9,959.5,1000.3,349.9
2026-01-09 12:12:48,19.7,40.5,19.9,959.5,1000.3,349.9
2026-01-09 12:12:53,19.7,40.4,19.9,959.5,1000.3,349.9
2026-01-09 12:12:58,19.7,40.4,19.9,959.5,1000.3,349.9
2026-01-09 12:13:03,19.7,40.4,19.9,959.4,1000.2,349.9
2026-01-09 12:13:08,19.7,40.3,19.9,959.5,1000.3,349.9
2026-01-09 12:13:14,19.7,40.3,19.9,959.5,1000.3,349.9
2026-01-09 12:13:19,19.7,40.3,19.9,959.6,1000.4,349.9
2026-01-09 12:13:24,19.7,40.3,19.9,959.5,1000.3,349.9
2026-01-09 12:13:29,19.7,40.1,19.9,959.5,1000.3,349.9
2026-01-09 12:13:34,19.7,40.1,19.9,959.5,1000.3,349.9
2026-01-09 12:13:39,19.7,40.2,19.9,959.5,1000.3,349.9
2026-01-09 12:13:45,19.7,40.1,19.9,959.5,1000.3,349.9
2026-01-09 12:13:50,19.7,40.1,19.9,959.5,1000.3,349.9
2026-01-09 12:13:55,19.7,40.0,19.9,959.5,1000.3,349.9
2026-01-09 12:14:00,19.7,40.0,19.9,959.5,1000.3,349.9
2026-01-09 12:14:05,19.7,40.0,19.9,959.5,1000.3,349.9
2026-01-09 12:14:11,19.7,40.0,19.9,959.5,1000.3,349.9
2026-01-09 12:14:16,19.7,39.9,19.9,959.6,1000.4,349.9
2026-01-09 12:14:21,19.7,39.9,19.9,959.5,1000.3,349.9
2026-01-09 12:14:26,19.7,39.9,19.9,959.5,1000.3,349.9
2026-01-09 12:14:31,19.7,39.9,19.9,959.5,1000.3,349.9
2026-01-09 12:14:36,19.7,39.8,19.9,959.6,1000.4,349.9
2026-01-09 12:14:42,19.7,39.9,19.9,959.5,1000.3,349.9
2026-01-09 12:14:47,19.7,39.9,19.9,959.5,1000.3,349.9
2026-01-09 12:14:52,19.7,39.9,19.9,959.5,1000.3,349.9
2026-01-09 12:14:57,19.7,39.8,19.9,959.5,1000.3,349.9
2026-01-09 12:15:02,19.7,39.9,19.9,959.6,1000.4,349.9
2026-01-09 12:15:08,19.8,40.1,19.9,959.6,1000.4,349.9
2026-01-09 12:15:13,19.7,40.3,19.9,959.5,1000.3,349.9
2026-01-09 12:15:18,19.7,40.3,19.9,959.5,1000.3,349.9
2026-01-09 12:15:23,19.8,40.4,19.9,959.5,1000.3,349.9
2026-01-09 12:15:28,19.8,40.5,20.0,959.6,1000.4,349.9
2026-01-09 12:15:34,19.8,40.4,20.0,959.5,1000.3,349.9
2026-01-09 12:15:39,19.8,40.4,20.0,959.6,1000.4,349.9
2026-01-09 12:15:44,19.8,40.3,19.9,959.6,1000.4,349.9
2026-01-09 12:15:49,19.8,40.3,19.9,959.6,1000.4,349.9
2026-01-09 12:15:54,19.8,40.3,20.0,959.5,1000.3,349.9
2026-01-09 12:15:59,19.8,40.2,20.0,959.5,1000.3,349.9
2026-01-09 12:16:05,19.8,40.2,20.0,959.6,1000.4,349.9
2026-01-09 12:16:10,19.8,40.3,20.0,959.5,1000.3,349.9
2026-01-09 12:16:14,19.8,40.3,20.0,959.6,1000.4,349.9
2026-01-09 12:16:15,19.8,40.3,19.9,959.5,1000.3,349.9
2026-01-09 12:16:20,19.8,40.3,20.0,959.6,1000.4,349.9
2026-01-09 12:16:25,19.8,40.4,20.0,959.6,1000.4,349.9
2026-01-09 12:16:31,19.8,40.4,20.0,959.5,1000.3,349.9
2026-01-09 12:16:36,19.8,40.5,20.0,959.6,1000.4,349.9
2026-01-09 12:16:41,19.8,40.6,20.0,959.6,1000.4,349.9
